1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Data_Time
이재명,체포동의안,국회,단독,자격,인정,노조,불법,대통령,피부양자,2023-02-21 17:00:05.205134
이재명,체포동의안,국회,인정,단독,자격,대통령,불법,노조,피부양자,2023-02-21 17:05:05.364240
이재명,체포동의안,국회,노조,인정,불법,없어,지원,속보,자격,2023-02-21 17:10:06.269841
이재명,체포동의안,국회,노조,인정,불법,자격,단독,지원,속보,2023-02-21 17:15:05.876994
이재명,체포동의안,국회,노조,인정,불법,자격,단독,속보,지원,2023-02-21 17:20:05.536020
이재명,체포동의안,국회,노조,인정,불법,단독,지원,자격,대통령,2023-02-21 17:25:05.452927
이재명,체포동의안,국회,노조,인정,불법,단독,지원,자격,대통령,2023-02-21 17:30:05.686409
이재명,체포동의안,국회,노조,인정,지원,불법,단독,자격,대통령,2023-02-21 17:35:05.764394
이재명,체포동의안,국회,노조,인정,불법,지원,자격,단독,대통령,2023-02-21 17:54:39.318148
이재명,체포동의안,국회,노조,인정,불법,지원,자격,단독,대통령,2023-02-21 17:55:07.912367
이재명,체포동의안,국회,노조,인정,불법,지원,자격,단독,대통령,2023-02-21 17:55:09.066404
이재명,체포동의안,국회,노조,인정,불법,지원,자격,단독,없어,2023-02-21 18:00:05.883588
이재명,체포동의안,국회,노조,인정,지원,불법,단독,자격,대통령,2023-02-21 18:05:05.053585
이재명,체포동의안,대통령,노조,속보,국회,민주당,불법,아냐,없어,2023-02-21 18:10:05.733542
이재명,체포동의안,대통령,노조,속보,국회,민주당,불법,아냐,없어,2023-02-21 18:15:08.368993
이재명,체포동의안,대통령,노조,속보,국회,불법,아냐,민주당,인정,2023-02-21 18:20:08.826721
이재명,체포동의안,대통령,노조,속보,국회,민주당,불법,아냐,없어,2023-02-21 18:25:09.517480
이재명,체포동의안,대통령,노조,속보,국회,불법,민주당,아냐,없어,2023-02-21 18:30:08.883257
이재명,체포동의안,대통령,노조,속보,국회,불법,아냐,민주당,없어,2023-02-21 18:35:08.362514
이재명,체포동의안,대통령,노조,속보,국회,불법,아냐,민주당,없어,2023-02-21 18:40:06.835531
이재명,체포동의안,대통령,노조,속보,국회,아냐,불법,민주당,없어,2023-02-21 18:45:06.273380
